"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","school-anxiety","null","null","2","102055","","","","","","",""
"iat","","929","f","5","119385","professor","school","school","school","nature","true",""
"iat","","782","f","7","120427","semester","school","school","school","nature","true",""
"iat","","843","j","9","121524","desert","nature","nature","school","nature","true",""
"iat","","904","j","11","122682","carbon","nature","nature","school","nature","true",""
"iat","","818","f","13","123753","library","school","school","school","nature","true",""
"iat","","1400","j","15","125407","mountains","nature","nature","school","nature","true",""
"iat","","676","f","17","126336","exam","school","school","school","nature","true",""
"iat","","854","f","19","127443","curriculum","school","school","school","nature","true",""
"iat","","701","j","21","128398","graduation","school","school","school","nature","false",""
"iat","","868","f","23","129519","assignment","school","school","school","nature","true",""
"iat","","959","j","25","130731","biodiversity","nature","nature","school","nature","true",""
"iat","","637","j","27","131621","atmosphere","nature","nature","school","nature","true",""
"iat","","662","f","29","132536","semester","school","school","school","nature","true",""
"iat","","803","j","31","133592","polar","nature","nature","school","nature","true",""
"iat","","578","j","33","134423","polar","nature","nature","school","nature","true",""
"iat","","712","j","35","135388","carbon","nature","nature","school","nature","true",""
"iat","","732","j","37","136374","rainforest","nature","nature","school","nature","true",""
"iat","","643","f","39","137270","textbook","school","school","school","nature","true",""
"iat","","707","f","41","138230","professor","school","school","school","nature","true",""
"iat","","668","f","43","139152","graduation","school","school","school","nature","true",""
"iat","","681","f","45","140085","textbook","school","school","school","nature","true",""
"iat","","570","f","47","140907","library","school","school","school","nature","true",""
"iat","","633","j","49","141793","biodiversity","nature","nature","school","nature","true",""
"iat","","802","j","51","142848","ocean","nature","nature","school","nature","true",""
"iat","","645","j","53","143744","mountains","nature","nature","school","nature","true",""
"iat","","652","j","55","144650","desert","nature","nature","school","nature","true",""
"iat","","641","j","57","145543","flora","nature","nature","school","nature","true",""
"iat","","742","f","59","146539","curriculum","school","school","school","nature","true",""
"iat","","632","j","61","147423","atmosphere","nature","nature","school","nature","true",""
"iat","","656","f","63","148332","syllabus","school","school","school","nature","true",""
"iat","","595","f","65","149181","homework","school","school","school","nature","true",""
"iat","","740","f","67","150176","homework","school","school","school","nature","true",""
"iat","","568","f","69","150998","exam","school","school","school","nature","true",""
"iat","","592","j","71","151846","rainforest","nature","nature","school","nature","true",""
"iat","","677","j","73","152777","flora","nature","nature","school","nature","true",""
"iat","","1969","j","75","155001","ecosystem","nature","nature","school","nature","true",""
"iat","","2636","j","78","161401","contentment","serenity","serenity","anxiety","serenity","true",""
"iat","","1138","f","80","162796","calm","serenity","serenity","anxiety","serenity","false",""
"iat","","1802","f","82","164855","avoidance","anxiety","anxiety","anxiety","serenity","true",""
"iat","","984","j","84","166094","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","883","f","86","167233","stress","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1099","f","88","168586","dread","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1011","j","90","169852","soothing","serenity","serenity","anxiety","serenity","true",""
"iat","","1580","j","92","171686","relaxation","serenity","serenity","anxiety","serenity","true",""
"iat","","776","f","94","172718","dread","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1735","j","96","174708","peace","serenity","serenity","anxiety","serenity","true",""
"iat","","758","f","98","175720","tension","anxiety","anxiety","anxiety","serenity","true",""
"iat","","827","f","100","176803","discomfort","anxiety","anxiety","anxiety","serenity","true",""
"iat","","790","f","102","177848","contentment","serenity","serenity","anxiety","serenity","false",""
"iat","","2660","f","104","180762","quietude","serenity","serenity","anxiety","serenity","false",""
"iat","","707","f","106","181724","quietude","serenity","serenity","anxiety","serenity","false",""
"iat","","1401","f","108","183380","worry","anxiety","anxiety","anxiety","serenity","true",""
"iat","","781","f","110","184415","agitation","anxiety","anxiety","anxiety","serenity","true",""
"iat","","725","j","112","185394","tranquility","serenity","serenity","anxiety","serenity","true",""
"iat","","764","f","114","186412","worry","anxiety","anxiety","anxiety","serenity","true",""
"iat","","824","f","116","187490","agitation","anxiety","anxiety","anxiety","serenity","true",""
"iat","","707","f","118","188452","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","815","j","120","189521","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","734","j","122","190509","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","688","j","124","191451","soothing","serenity","serenity","anxiety","serenity","true",""
"iat","","637","f","126","192342","avoidance","anxiety","anxiety","anxiety","serenity","true",""
"iat","","681","j","128","193277","tranquility","serenity","serenity","anxiety","serenity","true",""
"iat","","737","j","130","194269","peace","serenity","serenity","anxiety","serenity","true",""
"iat","","842","f","132","195366","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","770","f","134","196391","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","607","f","136","197252","panic","anxiety","anxiety","anxiety","serenity","true",""
"iat","","569","f","138","198075","discomfort","anxiety","anxiety","anxiety","serenity","true",""
"iat","","954","j","140","199285","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","1185","f","142","200724","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","604","f","144","201583","panic","anxiety","anxiety","anxiety","serenity","true",""
"iat","","836","j","146","202674","ease","serenity","serenity","anxiety","serenity","true",""
"iat","","568","j","148","203497","relaxation","serenity","serenity","anxiety","serenity","true",""
"iat","","1569","f","151","215182","contentment","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","923","j","153","216359","stress","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","841","j","155","217455","curriculum","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1194","j","157","218903","tension","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","632","j","159","219790","homework","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","755","f","161","220799","desert","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","1085","f","163","222138","soothing","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","665","j","165","223058","syllabus","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","766","f","167","224079","worry","anxiety","school or anxiety","nature or serenity","school or anxiety","false",""
"iat","","981","f","169","225314","ocean","nature","nature or serenity","nature or serenity","school or anxiety","true",""
