"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","climate-anxiety","null","null","2","94129","","","","","","",""
"iat","","1143","j","5","103796","exam","school","school","nature","school","true",""
"iat","","1250","j","7","105302","professor","school","school","nature","school","true",""
"iat","","698","j","9","106254","assignment","school","school","nature","school","true",""
"iat","","715","j","11","107224","exam","school","school","nature","school","true",""
"iat","","917","j","13","108397","curriculum","school","school","nature","school","true",""
"iat","","665","f","15","109317","ocean","nature","nature","nature","school","true",""
"iat","","612","j","17","110182","homework","school","school","nature","school","true",""
"iat","","855","j","19","111292","semester","school","school","nature","school","true",""
"iat","","593","j","21","112139","syllabus","school","school","nature","school","true",""
"iat","","844","j","23","113237","homework","school","school","nature","school","true",""
"iat","","553","j","25","114045","curriculum","school","school","nature","school","true",""
"iat","","548","j","27","114848","textbook","school","school","nature","school","true",""
"iat","","623","f","29","115725","rainforest","nature","nature","nature","school","true",""
"iat","","633","j","31","116613","graduation","school","school","nature","school","true",""
"iat","","637","f","33","117505","biodiversity","nature","nature","nature","school","true",""
"iat","","530","f","35","118289","library","school","school","nature","school","false",""
"iat","","687","j","37","119232","assignment","school","school","nature","school","true",""
"iat","","662","f","39","120149","ecosystem","nature","nature","nature","school","true",""
"iat","","573","j","41","120976","semester","school","school","nature","school","true",""
"iat","","697","f","43","121928","carbon","nature","nature","nature","school","true",""
"iat","","564","f","45","122747","mountains","nature","nature","nature","school","true",""
"iat","","617","f","47","123618","biodiversity","nature","nature","nature","school","true",""
"iat","","784","f","49","124659","desert","nature","nature","nature","school","true",""
"iat","","669","f","51","125583","flora","nature","nature","nature","school","true",""
"iat","","601","f","53","126438","ocean","nature","nature","nature","school","true",""
"iat","","622","j","55","127314","syllabus","school","school","nature","school","true",""
"iat","","1209","j","57","128780","polar","nature","nature","nature","school","false",""
"iat","","824","f","59","129858","carbon","nature","nature","nature","school","true",""
"iat","","538","f","61","130650","rainforest","nature","nature","nature","school","true",""
"iat","","584","f","63","131487","mountains","nature","nature","nature","school","true",""
"iat","","2079","f","65","133821","desert","nature","nature","nature","school","true",""
"iat","","585","f","67","134660","flora","nature","nature","nature","school","true",""
"iat","","779","j","69","135694","professor","school","school","nature","school","true",""
"iat","","929","j","71","136877","library","school","school","nature","school","true",""
"iat","","547","j","73","137679","atmosphere","nature","nature","nature","school","false",""
"iat","","567","f","75","138500","ecosystem","nature","nature","nature","school","true",""
"iat","","672","f","78","146324","worry","anxiety","anxiety","anxiety","serenity","true",""
"iat","","692","f","80","147272","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","690","j","82","148216","ease","serenity","serenity","anxiety","serenity","true",""
"iat","","729","f","84","149199","dread","anxiety","anxiety","anxiety","serenity","true",""
"iat","","688","j","86","150142","contentment","serenity","serenity","anxiety","serenity","true",""
"iat","","651","j","88","151047","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","444","j","90","151745","peace","serenity","serenity","anxiety","serenity","true",""
"iat","","522","j","92","152521","relaxation","serenity","serenity","anxiety","serenity","true",""
"iat","","714","j","94","153491","contentment","serenity","serenity","anxiety","serenity","true",""
"iat","","691","j","96","154437","soothing","serenity","serenity","anxiety","serenity","true",""
"iat","","512","f","98","155205","discomfort","anxiety","anxiety","anxiety","serenity","true",""
"iat","","484","j","100","155944","soothing","serenity","serenity","anxiety","serenity","true",""
"iat","","770","j","102","156968","quietude","serenity","serenity","anxiety","serenity","true",""
"iat","","2099","f","104","159321","stress","anxiety","anxiety","anxiety","serenity","true",""
"iat","","757","j","106","160334","quietude","serenity","serenity","anxiety","serenity","true",""
"iat","","559","f","108","161148","panic","anxiety","anxiety","anxiety","serenity","true",""
"iat","","612","f","110","162014","avoidance","anxiety","anxiety","anxiety","serenity","true",""
"iat","","710","f","112","162979","agitation","anxiety","anxiety","anxiety","serenity","true",""
"iat","","724","j","114","163958","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","784","j","116","164997","relaxation","serenity","serenity","anxiety","serenity","true",""
"iat","","461","j","118","165713","peace","serenity","serenity","anxiety","serenity","true",""
"iat","","501","f","120","166469","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","600","f","122","167324","discomfort","anxiety","anxiety","anxiety","serenity","true",""
"iat","","817","j","124","168395","calm","serenity","serenity","anxiety","serenity","true",""
"iat","","689","f","126","169338","tension","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1087","j","128","170679","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","551","f","130","171484","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","765","j","132","172504","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","660","f","134","173418","worry","anxiety","anxiety","anxiety","serenity","true",""
"iat","","3782","f","136","177453","dread","anxiety","anxiety","anxiety","serenity","true",""
"iat","","601","f","138","178309","panic","anxiety","anxiety","anxiety","serenity","true",""
"iat","","503","f","140","179068","avoidance","anxiety","anxiety","anxiety","serenity","true",""
"iat","","772","j","142","180095","tranquility","serenity","serenity","anxiety","serenity","true",""
"iat","","718","f","144","181068","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","551","j","146","181872","tension","anxiety","anxiety","anxiety","serenity","false",""
"iat","","522","j","148","182648","calm","serenity","serenity","anxiety","serenity","true",""
"iat","","1995","j","151","191694","panic","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","2613","f","153","194561","semester","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1334","f","155","196150","homework","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1764","j","157","198169","sweating","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1222","f","159","199647","worry","anxiety","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","2815","j","161","202716","desert","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1666","j","163","204638","tension","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1512","f","165","206404","graduation","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","926","j","167","207586","dread","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1078","f","169","208918","quietude","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","870","j","171","210043","fear","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","527","j","173","210825","ocean","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","794","j","175","211874","carbon","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","675","j","177","212803","biodiversity","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1346","f","179","214403","relaxation","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1394","j","181","216053","library","school","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","839","f","183","217145","textbook","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1082","j","185","218481","stress","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","2646","f","187","221382","peace","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","660","f","189","222296","composure","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","963","j","191","223513","atmosphere","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","529","j","193","224297","polar","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1109","f","195","225661","contentment","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","873","f","197","226789","assignment","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1819","j","199","228863","avoidance","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","3390","f","201","232509","soothing","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","930","j","203","233693","rainforest","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","830","f","205","234779","professor","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1450","f","207","236483","calm","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","4706","f","209","241444","balance","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1576","j","211","243275","agitation","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1110","j","213","244641","flora","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1234","f","215","246129","syllabus","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","772","f","217","247156","curriculum","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","812","f","219","248223","ease","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","862","j","221","249341","ecosystem","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","2453","f","224","256702","sweating","anxiety","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","626","j","226","257583","polar","nature","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","664","j","228","258500","composure","serenity","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","732","f","230","259487","stress","anxiety","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","651","j","232","260394","rainforest","nature","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","613","f","234","261262","relaxation","serenity","nature or serenity","school or anxiety","nature or serenity","false",""
"iat","","1179","j","236","262694","carbon","nature","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","1577","f","238","264526","graduation","school","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","683","j","240","265462","biodiversity","nature","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","1173","f","242","266889","dread","anxiety","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","1166","f","244","268309","library","school","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","1789","j","246","270353","quietude","serenity","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","808","f","248","271416","homework","school","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","607","j","250","272277","flora","nature","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","3775","j","252","276306","ecosystem","nature","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","1825","f","254","278385","fear","anxiety","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","776","f","256","279417","panic","anxiety","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","838","j","258","280511","peace","serenity","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","1147","f","260","281913","contentment","serenity","nature or serenity","school or anxiety","nature or serenity","false",""
"iat","","2096","f","262","284264","assignment","school","school or anxiety","school or anxiety","nature or serenity","true",""
