"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","school-anxiety","null","null","2","1738455","","","","","","",""
"iat","","981","j","5","1761568","ocean","nature","nature","school","nature","true",""
"iat","","928","j","7","1762753","rainforest","nature","nature","school","nature","true",""
"iat","","829","f","9","1763837","library","school","school","school","nature","true",""
"iat","","828","f","11","1764920","semester","school","school","school","nature","true",""
"iat","","627","f","13","1765801","graduation","school","school","school","nature","true",""
"iat","","749","f","15","1766804","syllabus","school","school","school","nature","true",""
"iat","","755","j","17","1767814","flora","nature","nature","school","nature","true",""
"iat","","587","j","19","1768656","ecosystem","nature","nature","school","nature","true",""
"iat","","1085","f","21","1769996","library","school","school","school","nature","true",""
"iat","","609","f","23","1770859","graduation","school","school","school","nature","true",""
"iat","","848","j","25","1771963","atmosphere","nature","nature","school","nature","true",""
"iat","","563","j","27","1772778","carbon","nature","nature","school","nature","true",""
"iat","","715","f","29","1773748","curriculum","school","school","school","nature","true",""
"iat","","919","f","31","1774921","exam","school","school","school","nature","true",""
"iat","","573","f","33","1775748","textbook","school","school","school","nature","true",""
"iat","","546","f","35","1776548","textbook","school","school","school","nature","true",""
"iat","","631","j","37","1777434","rainforest","nature","nature","school","nature","true",""
"iat","","643","j","39","1778330","ocean","nature","nature","school","nature","true",""
"iat","","806","f","41","1779389","assignment","school","school","school","nature","true",""
"iat","","675","f","43","1780320","professor","school","school","school","nature","true",""
"iat","","544","f","45","1781118","exam","school","school","school","nature","true",""
"iat","","600","f","47","1781972","curriculum","school","school","school","nature","true",""
"iat","","796","j","49","1783026","desert","nature","nature","school","nature","true",""
"iat","","640","j","51","1783921","mountains","nature","nature","school","nature","true",""
"iat","","688","f","53","1784864","semester","school","school","school","nature","true",""
"iat","","1867","j","55","1786985","ecosystem","nature","nature","school","nature","true",""
"iat","","1339","f","57","1788579","assignment","school","school","school","nature","true",""
"iat","","952","j","59","1789787","biodiversity","nature","nature","school","nature","true",""
"iat","","1408","f","61","1791449","professor","school","school","school","nature","true",""
"iat","","1590","f","63","1793293","biodiversity","nature","nature","school","nature","false",""
"iat","","1238","f","65","1794786","homework","school","school","school","nature","true",""
"iat","","739","j","67","1795780","mountains","nature","nature","school","nature","true",""
"iat","","738","j","69","1796773","carbon","nature","nature","school","nature","true",""
