"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","neutral","null","null","2","81935","","","","","","",""
"iat","","1032","f","5","90163","biodiversity","nature","nature","nature","school","true",""
"iat","","659","f","7","91078","mountains","nature","nature","nature","school","true",""
"iat","","633","j","9","91965","exam","school","school","nature","school","true",""
"iat","","579","j","11","92800","professor","school","school","nature","school","true",""
"iat","","567","j","13","93622","semester","school","school","nature","school","true",""
"iat","","587","j","15","94464","curriculum","school","school","nature","school","true",""
"iat","","680","j","17","95398","exam","school","school","nature","school","true",""
"iat","","944","f","19","96597","rainforest","nature","nature","nature","school","true",""
"iat","","528","f","21","97378","desert","nature","nature","nature","school","true",""
"iat","","514","f","23","98147","ocean","nature","nature","nature","school","true",""
"iat","","615","f","25","99016","carbon","nature","nature","nature","school","true",""
"iat","","736","j","27","100006","graduation","school","school","nature","school","true",""
"iat","","639","f","29","100900","flora","nature","nature","nature","school","true",""
"iat","","459","j","31","101613","homework","school","school","nature","school","true",""
"iat","","487","f","33","102354","biodiversity","nature","nature","nature","school","true",""
"iat","","637","j","35","103245","curriculum","school","school","nature","school","true",""
"iat","","1102","f","37","104602","mountains","nature","nature","nature","school","true",""
"iat","","1144","f","39","106000","polar","nature","nature","nature","school","true",""
"iat","","646","f","41","106901","ecosystem","nature","nature","nature","school","true",""
"iat","","815","j","43","107971","textbook","school","school","nature","school","true",""
"iat","","604","j","45","108829","graduation","school","school","nature","school","true",""
"iat","","567","f","47","109650","desert","nature","nature","nature","school","true",""
"iat","","480","j","49","110383","homework","school","school","nature","school","true",""
"iat","","620","f","51","111258","polar","nature","nature","nature","school","true",""
"iat","","698","f","53","112210","carbon","nature","nature","nature","school","true",""
"iat","","600","f","55","113065","flora","nature","nature","nature","school","true",""
"iat","","404","f","57","113724","library","school","school","nature","school","false",""
"iat","","1938","j","59","115916","assignment","school","school","nature","school","true",""
"iat","","704","j","61","116875","library","school","school","nature","school","true",""
"iat","","496","j","63","117624","professor","school","school","nature","school","true",""
"iat","","769","j","65","118648","semester","school","school","nature","school","true",""
"iat","","713","j","67","119615","syllabus","school","school","nature","school","true",""
"iat","","572","j","69","120442","assignment","school","school","nature","school","true",""
"iat","","607","f","71","121303","atmosphere","nature","nature","nature","school","true",""
"iat","","967","f","73","122523","rainforest","nature","nature","nature","school","true",""
"iat","","485","f","75","123262","ecosystem","nature","nature","nature","school","true",""
"iat","","1493","f","78","129141","soothing","serenity","serenity","serenity","anxiety","true",""
"iat","","1282","f","80","130677","quietude","serenity","serenity","serenity","anxiety","true",""
"iat","","575","j","82","131506","discomfort","anxiety","anxiety","serenity","anxiety","true",""
"iat","","519","j","84","132280","sweating","anxiety","anxiety","serenity","anxiety","true",""
"iat","","666","f","86","133200","relaxation","serenity","serenity","serenity","anxiety","true",""
"iat","","679","f","88","134133","peace","serenity","serenity","serenity","anxiety","true",""
"iat","","764","j","90","135152","panic","anxiety","anxiety","serenity","anxiety","true",""
"iat","","491","j","92","135897","stress","anxiety","anxiety","serenity","anxiety","true",""
"iat","","561","j","94","136713","discomfort","anxiety","anxiety","serenity","anxiety","true",""
"iat","","680","f","96","137646","contentment","serenity","serenity","serenity","anxiety","true",""
"iat","","761","f","98","138662","soothing","serenity","serenity","serenity","anxiety","true",""
"iat","","1489","j","100","140405","panic","anxiety","anxiety","serenity","anxiety","true",""
"iat","","886","f","102","141544","balance","serenity","serenity","serenity","anxiety","true",""
"iat","","688","f","104","142487","contentment","serenity","serenity","serenity","anxiety","true",""
"iat","","681","f","106","143422","ease","serenity","serenity","serenity","anxiety","true",""
"iat","","492","f","108","144168","calm","serenity","serenity","serenity","anxiety","true",""
"iat","","712","j","110","145134","dread","anxiety","anxiety","serenity","anxiety","true",""
"iat","","416","j","112","145805","worry","anxiety","anxiety","serenity","anxiety","true",""
"iat","","617","f","114","146675","composure","serenity","serenity","serenity","anxiety","true",""
"iat","","501","j","116","147429","dread","anxiety","anxiety","serenity","anxiety","true",""
"iat","","734","f","118","148418","relaxation","serenity","serenity","serenity","anxiety","true",""
"iat","","542","j","120","149213","tension","anxiety","anxiety","serenity","anxiety","true",""
"iat","","1071","j","122","150538","fear","anxiety","anxiety","serenity","anxiety","true",""
"iat","","619","f","124","151412","calm","serenity","serenity","serenity","anxiety","true",""
"iat","","817","f","126","152483","balance","serenity","serenity","serenity","anxiety","true",""
"iat","","699","f","128","153436","avoidance","anxiety","anxiety","serenity","anxiety","false",""
"iat","","632","f","130","154323","composure","serenity","serenity","serenity","anxiety","true",""
"iat","","1149","j","132","155726","fear","anxiety","anxiety","serenity","anxiety","true",""
"iat","","524","j","134","156505","tension","anxiety","anxiety","serenity","anxiety","true",""
"iat","","641","j","136","157399","agitation","anxiety","anxiety","serenity","anxiety","true",""
"iat","","702","f","138","158356","ease","serenity","serenity","serenity","anxiety","true",""
"iat","","765","f","140","159375","tranquility","serenity","serenity","serenity","anxiety","true",""
"iat","","715","j","142","160344","agitation","anxiety","anxiety","serenity","anxiety","true",""
"iat","","560","f","144","161158","peace","serenity","serenity","serenity","anxiety","true",""
"iat","","539","j","146","161951","worry","anxiety","anxiety","serenity","anxiety","true",""
"iat","","709","j","148","162914","stress","anxiety","anxiety","serenity","anxiety","true",""
"iat","","1236","f","151","170243","semester","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","735","f","153","171231","syllabus","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1501","f","155","172987","contentment","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","735","f","157","173976","textbook","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","813","j","159","175043","worry","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","670","j","161","175968","stress","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","679","f","163","176901","relaxation","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1112","j","165","178266","biodiversity","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","587","j","167","179107","mountains","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","877","j","169","180238","panic","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","606","f","171","181099","professor","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","664","f","173","182017","quietude","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","737","f","175","183008","library","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","616","j","177","183878","rainforest","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","790","f","179","184923","tranquility","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","597","f","181","185775","ecosystem","nature","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","1349","f","183","187378","calm","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","666","j","185","188298","dread","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","726","f","187","189278","soothing","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","687","j","189","190219","agitation","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1250","j","191","191723","polar","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","634","j","193","192611","atmosphere","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","569","j","195","193433","flora","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","828","j","197","194515","discomfort","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","915","f","199","195685","composure","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","678","j","201","196617","ocean","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1203","f","203","198074","balance","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","672","j","205","199000","graduation","school","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","1343","j","207","200598","fear","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","871","f","209","201722","curriculum","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1380","j","211","203355","carbon","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1114","j","213","204723","desert","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","680","j","215","205657","sweating","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","615","f","217","206526","peace","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","867","j","219","207647","assignment","school","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","1093","f","221","208995","ease","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1060","j","224","212205","worry","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1929","f","226","214388","relaxation","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","2045","f","228","216687","biodiversity","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","1466","j","230","218407","composure","serenity","nature or serenity","nature or serenity","school or anxiety","false",""
"iat","","2988","f","232","221647","polar","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","1867","j","234","223769","avoidance","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","582","j","236","224606","professor","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","557","j","238","225417","sweating","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","590","j","240","226261","textbook","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1538","f","242","228054","ease","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","519","f","244","228827","peace","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","620","j","246","229701","agitation","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","3728","f","248","233683","mountains","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","953","j","250","234890","stress","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1201","f","252","236345","atmosphere","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","794","j","254","237393","semester","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1399","f","256","239046","ocean","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","795","j","258","240095","homework","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","704","j","260","241054","assignment","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","531","j","262","241839","library","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","535","f","264","242627","fear","anxiety","school or anxiety","nature or serenity","school or anxiety","false",""
"iat","","833","j","266","243714","exam","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","978","j","268","244946","syllabus","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1047","f","270","246247","balance","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","726","f","272","247228","flora","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","849","f","274","248331","calm","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","522","f","276","249107","tranquility","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","507","f","278","249869","ecosystem","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","784","j","280","250906","discomfort","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","714","f","282","251874","contentment","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","1271","f","284","253399","carbon","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","714","j","286","254368","curriculum","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","646","f","288","255269","desert","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","643","j","290","256165","panic","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1979","j","292","258398","tension","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","875","f","294","259527","quietude","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"questionnaire","","30981","{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":3,""Q6"":2,""Q7"":4,""Q8"":3,""Q9"":2}","296","290765","","","","","","","[0,1,2,3,4,5,6,7,8,9]"
