"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","school-anxiety","null","null","2","116785","","","","","","",""
"iat","","1206","f","5","134643","ocean","nature","nature","nature","school","true",""
"iat","","910","j","7","135808","assignment","school","school","nature","school","true",""
"iat","","1239","f","9","137302","desert","nature","nature","nature","school","true",""
"iat","","574","f","11","138131","flora","nature","nature","nature","school","true",""
"iat","","1314","f","13","139700","rainforest","nature","nature","nature","school","true",""
"iat","","776","j","15","140731","exam","school","school","nature","school","true",""
"iat","","689","f","17","141675","mountains","nature","nature","nature","school","true",""
"iat","","681","j","19","142611","graduation","school","school","nature","school","true",""
"iat","","586","f","21","143452","rainforest","nature","nature","nature","school","true",""
"iat","","591","j","23","144299","syllabus","school","school","nature","school","true",""
"iat","","529","j","25","145082","textbook","school","school","nature","school","true",""
"iat","","1057","f","27","146393","carbon","nature","nature","nature","school","true",""
"iat","","1692","j","29","148340","professor","school","school","nature","school","true",""
"iat","","1427","j","31","150021","textbook","school","school","nature","school","true",""
"iat","","2234","j","33","152510","exam","school","school","nature","school","true",""
"iat","","1608","f","35","154373","atmosphere","nature","nature","nature","school","true",""
"iat","","448","f","37","155075","ocean","nature","nature","nature","school","true",""
"iat","","512","f","39","155841","ecosystem","nature","nature","nature","school","true",""
"iat","","794","j","41","156889","assignment","school","school","nature","school","true",""
"iat","","659","f","43","157802","carbon","nature","nature","nature","school","true",""
"iat","","1892","f","45","159950","atmosphere","nature","nature","nature","school","true",""
"iat","","1073","j","47","161277","semester","school","school","nature","school","true",""
"iat","","1139","f","49","162669","polar","nature","nature","nature","school","true",""
"iat","","675","f","51","163599","ecosystem","nature","nature","nature","school","true",""
"iat","","664","j","53","164518","library","school","school","nature","school","true",""
"iat","","663","f","55","165435","flora","nature","nature","nature","school","true",""
"iat","","588","j","57","166278","polar","nature","nature","nature","school","false",""
"iat","","1024","j","59","167556","homework","school","school","nature","school","true",""
"iat","","466","j","61","168277","homework","school","school","nature","school","true",""
"iat","","322","j","63","168855","syllabus","school","school","nature","school","true",""
"iat","","500","j","65","169609","curriculum","school","school","nature","school","true",""
"iat","","870","j","67","170733","semester","school","school","nature","school","true",""
"iat","","469","j","69","171456","graduation","school","school","nature","school","true",""
"iat","","662","f","71","172372","mountains","nature","nature","nature","school","true",""
"iat","","544","f","73","173169","biodiversity","nature","nature","nature","school","true",""
"iat","","688","j","75","174112","library","school","school","nature","school","true",""
"iat","","1184","f","78","206151","discomfort","anxiety","anxiety","anxiety","serenity","true",""
"iat","","611","j","80","207017","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","519","j","82","207791","quietude","serenity","serenity","anxiety","serenity","true",""
"iat","","531","j","84","208576","ease","serenity","serenity","anxiety","serenity","true",""
"iat","","847","j","86","209677","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","484","f","88","210417","panic","anxiety","anxiety","anxiety","serenity","true",""
"iat","","478","f","90","211149","tension","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1285","j","92","212687","peace","serenity","serenity","anxiety","serenity","true",""
"iat","","1156","j","94","214098","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","1359","f","96","215712","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","644","f","98","216610","avoidance","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1675","f","100","218540","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1714","f","102","220509","dread","anxiety","anxiety","anxiety","serenity","true",""
"iat","","754","j","104","221516","soothing","serenity","serenity","anxiety","serenity","true",""
"iat","","394","j","106","222165","relaxation","serenity","serenity","anxiety","serenity","true",""
"iat","","610","f","108","223029","stress","anxiety","anxiety","anxiety","serenity","true",""
"iat","","680","f","110","223964","discomfort","anxiety","anxiety","anxiety","serenity","true",""
"iat","","538","f","112","224756","panic","anxiety","anxiety","anxiety","serenity","true",""
"iat","","561","f","114","225571","soothing","serenity","serenity","anxiety","serenity","false",""
"iat","","681","f","116","226506","contentment","serenity","serenity","anxiety","serenity","false",""
"iat","","1157","j","118","227917","quietude","serenity","serenity","anxiety","serenity","true",""
"iat","","712","f","120","228884","agitation","anxiety","anxiety","anxiety","serenity","true",""
"iat","","2588","j","122","231727","calm","serenity","serenity","anxiety","serenity","true",""
"iat","","513","f","124","232495","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","677","j","126","233426","peace","serenity","serenity","anxiety","serenity","true",""
"iat","","673","f","128","234353","agitation","anxiety","anxiety","anxiety","serenity","true",""
"iat","","511","f","130","235119","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","561","f","132","235932","avoidance","anxiety","anxiety","anxiety","serenity","true",""
"iat","","575","j","134","236762","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","468","j","136","237484","contentment","serenity","serenity","anxiety","serenity","true",""
"iat","","763","f","138","238501","worry","anxiety","anxiety","anxiety","serenity","true",""
"iat","","450","f","140","239205","dread","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1008","j","142","240468","relaxation","serenity","serenity","anxiety","serenity","true",""
"iat","","628","j","144","241349","tranquility","serenity","serenity","anxiety","serenity","true",""
"iat","","539","f","146","242142","stress","anxiety","anxiety","anxiety","serenity","true",""
"iat","","519","j","148","242916","calm","serenity","serenity","anxiety","serenity","true",""
"iat","","2784","j","151","515519","worry","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","807","j","153","516580","mountains","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1032","j","155","517865","dread","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","632","j","157","518752","stress","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","533","j","159","519539","panic","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","756","j","161","520549","tranquility","serenity","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","1233","f","163","522036","textbook","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1782","j","165","524072","desert","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","2534","f","167","526860","assignment","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","946","j","169","528061","carbon","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1757","f","171","530072","homework","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","2359","f","173","532685","curriculum","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1100","j","175","534039","composure","serenity","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","1692","j","177","535986","agitation","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1798","f","179","538038","ecosystem","nature","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","2064","f","181","540356","graduation","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1112","j","183","541723","avoidance","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1004","j","185","542982","discomfort","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1527","f","187","544763","calm","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","640","f","189","545658","quietude","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1032","j","191","546944","flora","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1301","f","193","548499","balance","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1028","j","195","549782","fear","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","2512","j","197","552547","rainforest","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1221","f","199","554022","exam","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1821","j","201","556098","biodiversity","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","3003","f","203","559355","professor","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1890","j","205","561499","peace","serenity","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","2810","j","207","564564","polar","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1162","f","209","565979","semester","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","781","f","211","567014","ocean","nature","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","1072","f","213","568341","syllabus","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1714","f","215","570310","soothing","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1774","j","217","572339","atmosphere","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1887","f","219","574480","relaxation","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","975","f","221","575710","library","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1923","j","224","717912","quietude","serenity","nature or serenity","school or anxiety","nature or serenity","true",""
"iat","","830","f","226","718997","homework","school","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","540","f","228","719791","curriculum","school","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","419","f","230","720464","professor","school","school or anxiety","school or anxiety","nature or serenity","true",""
"iat","","1595","j","232","722314","polar","nature","nature or serenity","school or anxiety","nature or serenity","true",""
