"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","neutral","null","null","2","81520","","","","","","",""
"iat","","1147","j","5","92945","ocean","nature","nature","school","nature","true",""
"iat","","731","f","7","93931","assignment","school","school","school","nature","true",""
"iat","","720","f","9","94906","carbon","nature","nature","school","nature","false",""
"iat","","532","f","11","95694","mountains","nature","nature","school","nature","false",""
"iat","","494","f","13","96443","curriculum","school","school","school","nature","true",""
"iat","","640","f","15","97337","graduation","school","school","school","nature","true",""
"iat","","550","f","17","98140","semester","school","school","school","nature","true",""
"iat","","429","j","19","98824","ocean","nature","nature","school","nature","true",""
"iat","","568","f","21","99645","professor","school","school","school","nature","true",""
"iat","","692","f","23","100593","biodiversity","nature","nature","school","nature","false",""
"iat","","551","j","25","101399","rainforest","nature","nature","school","nature","true",""
"iat","","794","f","27","102448","syllabus","school","school","school","nature","true",""
"iat","","582","f","29","103283","ecosystem","nature","nature","school","nature","false",""
"iat","","1210","f","31","104747","textbook","school","school","school","nature","true",""
"iat","","520","f","33","105520","professor","school","school","school","nature","true",""
"iat","","644","f","35","106419","library","school","school","school","nature","true",""
"iat","","1370","j","37","108043","desert","nature","nature","school","nature","true",""
"iat","","553","j","39","108851","biodiversity","nature","nature","school","nature","true",""
"iat","","468","j","41","109573","mountains","nature","nature","school","nature","true",""
"iat","","622","f","43","110448","assignment","school","school","school","nature","true",""
"iat","","623","f","45","111325","graduation","school","school","school","nature","true",""
"iat","","940","f","47","112519","polar","nature","nature","school","nature","false",""
"iat","","1218","f","49","113991","exam","school","school","school","nature","true",""
"iat","","612","f","51","114856","carbon","nature","nature","school","nature","false",""
"iat","","1230","j","53","116340","rainforest","nature","nature","school","nature","true",""
"iat","","410","j","55","117004","semester","school","school","school","nature","false",""
"iat","","1170","j","57","118429","flora","nature","nature","school","nature","true",""
"iat","","637","f","59","119320","homework","school","school","school","nature","true",""
"iat","","434","f","61","120008","exam","school","school","school","nature","true",""
"iat","","626","j","63","120888","flora","nature","nature","school","nature","true",""
"iat","","470","f","65","121613","curriculum","school","school","school","nature","true",""
"iat","","503","f","67","122371","textbook","school","school","school","nature","true",""
"iat","","495","f","69","123120","homework","school","school","school","nature","true",""
"iat","","783","f","71","124157","polar","nature","nature","school","nature","false",""
"iat","","581","f","73","124993","atmosphere","nature","nature","school","nature","false",""
"iat","","606","j","75","125854","desert","nature","nature","school","nature","true",""
"iat","","1431","f","78","128838","calm","serenity","serenity","serenity","anxiety","true",""
"iat","","692","f","80","129784","composure","serenity","serenity","serenity","anxiety","true",""
"iat","","689","j","82","130727","sweating","anxiety","anxiety","serenity","anxiety","true",""
"iat","","526","j","84","131507","dread","anxiety","anxiety","serenity","anxiety","true",""
"iat","","629","j","86","132391","tension","anxiety","anxiety","serenity","anxiety","true",""
"iat","","614","f","88","133258","balance","serenity","serenity","serenity","anxiety","true",""
"iat","","562","j","90","134073","panic","anxiety","anxiety","serenity","anxiety","true",""
"iat","","540","j","92","134867","fear","anxiety","anxiety","serenity","anxiety","true",""
"iat","","613","f","94","135735","peace","serenity","serenity","serenity","anxiety","true",""
"iat","","622","f","96","136611","soothing","serenity","serenity","serenity","anxiety","true",""
"iat","","526","f","98","137391","tranquility","serenity","serenity","serenity","anxiety","true",""
"iat","","549","j","100","138194","agitation","anxiety","anxiety","serenity","anxiety","true",""
"iat","","597","f","102","139046","contentment","serenity","serenity","serenity","anxiety","true",""
"iat","","735","f","104","140034","calm","serenity","serenity","serenity","anxiety","true",""
"iat","","525","f","106","140813","tranquility","serenity","serenity","serenity","anxiety","true",""
"iat","","618","f","108","141685","contentment","serenity","serenity","serenity","anxiety","true",""
"iat","","454","j","110","142393","sweating","anxiety","anxiety","serenity","anxiety","true",""
"iat","","582","f","112","143229","ease","serenity","serenity","serenity","anxiety","true",""
"iat","","532","j","114","144014","stress","anxiety","anxiety","serenity","anxiety","true",""
"iat","","752","f","116","145020","avoidance","anxiety","anxiety","serenity","anxiety","false",""
"iat","","2555","j","118","147829","dread","anxiety","anxiety","serenity","anxiety","true",""
"iat","","764","f","120","148847","quietude","serenity","serenity","serenity","anxiety","true",""
"iat","","644","f","122","149745","ease","serenity","serenity","serenity","anxiety","true",""
"iat","","834","j","124","150834","avoidance","anxiety","anxiety","serenity","anxiety","true",""
"iat","","803","f","126","151891","quietude","serenity","serenity","serenity","anxiety","true",""
"iat","","751","j","128","152896","worry","anxiety","anxiety","serenity","anxiety","true",""
"iat","","634","f","130","153784","relaxation","serenity","serenity","serenity","anxiety","true",""
"iat","","615","j","132","154653","panic","anxiety","anxiety","serenity","anxiety","true",""
"iat","","638","f","134","155546","balance","serenity","serenity","serenity","anxiety","true",""
"iat","","648","j","136","156447","tension","anxiety","anxiety","serenity","anxiety","true",""
"iat","","785","j","138","157487","discomfort","anxiety","anxiety","serenity","anxiety","true",""
"iat","","423","j","140","158164","fear","anxiety","anxiety","serenity","anxiety","true",""
"iat","","541","j","142","158960","discomfort","anxiety","anxiety","serenity","anxiety","true",""
"iat","","600","j","144","159815","agitation","anxiety","anxiety","serenity","anxiety","true",""
"iat","","544","f","146","160613","soothing","serenity","serenity","serenity","anxiety","true",""
"iat","","451","f","148","161317","relaxation","serenity","serenity","serenity","anxiety","true",""
"iat","","3177","f","151","166034","tranquility","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1078","f","153","167367","syllabus","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1742","j","155","169362","ecosystem","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1372","f","157","170988","contentment","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","883","f","159","172125","exam","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","955","j","161","173335","rainforest","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","937","j","163","174526","panic","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","896","f","165","175676","composure","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1019","f","167","176948","relaxation","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","814","j","169","178016","discomfort","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","763","j","171","179034","biodiversity","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","1188","f","173","180476","fear","anxiety","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","1218","f","175","181949","polar","nature","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","654","f","177","182858","curriculum","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","526","f","179","183637","assignment","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","632","f","181","184524","carbon","nature","nature or anxiety","school or serenity","nature or anxiety","false",""
"iat","","626","f","183","185404","professor","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","909","f","185","186568","calm","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","685","f","187","187506","textbook","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","790","j","189","188551","stress","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","796","j","191","189602","mountains","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","540","j","193","190397","flora","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","709","f","195","191360","balance","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","649","j","197","192265","ocean","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","757","f","199","193276","library","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","2400","j","201","195929","atmosphere","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","728","f","203","196910","soothing","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1387","j","205","198551","avoidance","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","809","f","207","199613","ease","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","688","f","209","200555","homework","school","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","700","j","211","201509","agitation","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","493","j","213","202255","tension","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","768","j","215","203278","desert","nature","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","658","j","217","204191","sweating","anxiety","nature or anxiety","school or serenity","nature or anxiety","true",""
"iat","","967","f","219","205412","quietude","serenity","school or serenity","school or serenity","nature or anxiety","true",""
"iat","","1205","j","221","206870","peace","serenity","school or serenity","school or serenity","nature or anxiety","false",""
"iat","","1840","j","224","210105","graduation","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","646","j","226","211003","homework","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","671","j","228","211928","assignment","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","675","j","230","212858","exam","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1924","j","232","215034","avoidance","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","762","j","234","216049","tension","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","929","f","236","217232","desert","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","930","j","238","218415","stress","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","683","j","240","219351","fear","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","791","j","242","220396","dread","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","644","j","244","221293","panic","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","738","j","246","222285","textbook","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","556","j","248","223096","curriculum","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","662","f","250","224013","ease","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","556","f","252","224822","calm","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","739","j","254","225815","syllabus","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1118","f","256","227187","flora","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","745","j","258","228186","sweating","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","1040","j","260","229479","worry","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","672","f","262","230404","atmosphere","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","475","f","264","231132","rainforest","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","1104","f","266","232491","quietude","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","921","f","268","233665","ecosystem","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","955","f","270","234874","carbon","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","1327","f","272","236455","composure","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","619","f","274","237329","relaxation","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","826","f","276","238409","polar","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","832","f","278","239493","peace","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","568","f","280","240316","balance","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","516","f","282","241086","tranquility","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","735","j","284","242075","discomfort","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","940","f","286","243269","ocean","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","805","f","288","244327","mountains","nature","nature or serenity","nature or serenity","school or anxiety","true",""
"iat","","765","j","290","245346","library","school","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","899","j","292","246499","agitation","anxiety","school or anxiety","nature or serenity","school or anxiety","true",""
"iat","","642","f","294","247395","soothing","serenity","nature or serenity","nature or serenity","school or anxiety","true",""
"questionnaire","","28136","{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":0,""Q4"":0,""Q5"":2,""Q6"":3,""Q7"":3,""Q8"":1,""Q9"":1}","296","275791","","","","","","","[0,1,2,3,4,5,6,7,8,9]"
